historical_region,Korčok,Pellegrini,sum,perc_Korčok,perc_Pellegrini
Bratislavský region,257235,124719,381954,67.35,32.65
Dolná Nitra,70356,91255,161611,43.53,56.47
Dolné Považie,96510,101888,198398,48.64,51.36
Dolný Zemplín,25405,59012,84417,30.09,69.91
Gemer,19633,40534,60167,32.63,67.37
Hont,13496,23716,37212,36.27,63.73
Horehronie,39258,48934,88192,44.51,55.49
Horná Nitra,56493,94563,151056,37.4,62.6
Horné Považie,69656,91738,161394,43.16,56.84
Horný Zemplín,26895,63487,90382,29.76,70.24
Košický región (Abov),89425,70975,160400,55.75,44.25
Kysuce,19407,44219,63626,30.5,69.5
Liptov,32791,36537,69328,47.3,52.7
Novohrad,15975,30933,46908,34.06,65.94
Orava,33185,34361,67546,49.13,50.87
Podunajsko,37652,52742,90394,41.65,58.35
Spiš,27310,36108,63418,43.06,56.94
Stredné Považie,66019,79121,145140,45.49,54.51
Tatry,37390,37160,74550,50.15,49.85
Tekov,31114,42905,74019,42.04,57.96
Turiec,26984,33534,60518,44.59,55.41
Zamagurie,8489,13499,21988,38.61,61.39
Zvolensko-Podpoľanie,21556,29707,51263,42.05,57.95
Záhorie,49224,44921,94145,52.29,47.71
Šariš,72251,82687,154938,46.63,53.37
