obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,Víťazný kandidát
500011,0.73,0.05,75.57,0.22,21.54,0.76,0.1,0.08,0.56,0.18,0.21,Forró
500020,1.24,0.0,53.42,0.0,43.48,0.62,0.0,0.0,0.62,0.0,0.62,Forró
500046,0.0,0.0,69.4,0.0,29.85,0.75,0.0,0.0,0.0,0.0,0.0,Forró
500062,2.63,1.58,71.58,0.0,23.16,0.53,0.0,0.0,0.0,0.0,0.53,Forró
500071,0.24,0.24,56.72,0.49,36.19,0.49,0.73,0.24,4.4,0.0,0.24,Forró
500101,0.0,0.0,60.0,1.33,36.67,2.0,0.0,0.0,0.0,0.0,0.0,Forró
500127,4.35,0.0,47.83,0.0,46.38,1.45,0.0,0.0,0.0,0.0,0.0,Forró
500135,1.6,0.0,68.0,0.0,24.8,3.2,0.0,0.8,0.0,0.0,1.6,Forró
500151,0.81,0.0,62.6,0.0,32.52,2.44,0.0,0.0,1.63,0.0,0.0,Forró
500160,0.0,0.0,66.67,0.0,27.45,5.88,0.0,0.0,0.0,0.0,0.0,Forró
500194,0.51,0.0,47.96,0.0,46.43,1.02,1.53,0.0,1.53,1.02,0.0,Forró
500232,1.75,0.0,69.0,0.44,27.51,0.44,0.44,0.0,0.0,0.44,0.0,Forró
500241,1.19,0.0,59.52,0.0,35.12,2.98,0.0,0.0,1.19,0.0,0.0,Forró
500267,0.0,0.0,62.5,0.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,Forró
500283,0.75,0.0,63.16,0.75,32.33,2.26,0.0,0.0,0.75,0.0,0.0,Forró
500305,2.38,0.0,54.76,1.19,34.52,5.95,0.0,0.0,1.19,0.0,0.0,Forró
500313,1.41,0.0,64.79,0.0,32.39,0.0,0.0,0.0,1.41,0.0,0.0,Forró
500321,1.96,0.0,52.94,0.0,41.18,1.96,0.0,0.0,1.96,0.0,0.0,Forró
500348,1.39,1.39,58.33,0.0,36.11,0.0,1.39,0.0,1.39,0.0,0.0,Forró
500356,0.71,0.0,64.77,0.36,31.32,0.71,0.36,1.07,0.36,0.0,0.36,Forró
500364,1.11,0.0,55.56,0.0,37.78,5.56,0.0,0.0,0.0,0.0,0.0,Forró
500372,1.65,0.28,57.02,0.28,37.74,0.55,0.0,0.0,1.93,0.28,0.28,Forró
500381,0.75,0.0,63.91,0.0,28.57,2.26,0.75,3.01,0.75,0.0,0.0,Forró
500399,0.0,0.0,60.0,0.0,33.33,0.0,0.0,0.0,6.67,0.0,0.0,Forró
500402,0.49,0.0,52.2,0.49,40.98,0.49,2.44,0.0,2.93,0.0,0.0,Forró
500411,1.09,0.0,56.52,0.0,38.41,0.72,0.36,0.36,2.54,0.0,0.0,Forró
500429,0.0,0.0,64.1,0.0,30.77,2.56,0.0,0.0,2.56,0.0,0.0,Forró
500437,2.36,0.0,48.82,0.0,44.09,0.0,2.36,0.0,2.36,0.0,0.0,Forró
500453,0.39,0.0,75.2,0.39,21.65,0.0,0.79,0.0,0.0,0.79,0.79,Forró
500461,6.25,1.25,37.5,0.0,50.0,2.5,1.25,0.0,1.25,0.0,0.0,Korčok
500470,2.25,1.12,61.8,0.0,31.46,1.12,0.0,0.0,0.0,1.12,1.12,Forró
500488,2.17,0.72,56.52,0.0,39.86,0.0,0.0,0.72,0.0,0.0,0.0,Forró
500500,1.53,0.0,61.07,0.0,35.88,1.53,0.0,0.0,0.0,0.0,0.0,Forró
500518,5.36,0.0,55.36,0.0,39.29,0.0,0.0,0.0,0.0,0.0,0.0,Forró
500534,3.45,0.0,72.41,6.9,17.24,0.0,0.0,0.0,0.0,0.0,0.0,Forró
500542,3.12,0.0,64.06,0.0,28.12,4.69,0.0,0.0,0.0,0.0,0.0,Forró
500551,0.0,0.0,57.53,1.37,39.73,1.37,0.0,0.0,0.0,0.0,0.0,Forró
500569,1.79,1.79,57.14,0.0,35.71,0.0,0.0,0.0,1.79,1.79,0.0,Forró
500577,0.31,0.31,68.21,0.31,30.25,0.31,0.31,0.0,0.0,0.0,0.0,Forró
500585,4.48,0.0,58.21,0.0,32.84,4.48,0.0,0.0,0.0,0.0,0.0,Forró
500593,2.56,0.0,62.82,0.0,32.05,1.28,0.0,0.0,1.28,0.0,0.0,Forró
500607,3.85,0.0,57.69,0.0,34.62,1.92,0.0,0.0,1.92,0.0,0.0,Forró
500631,0.0,0.72,66.91,0.0,30.22,2.16,0.0,0.0,0.0,0.0,0.0,Forró
500640,0.7,0.0,75.35,0.0,19.72,1.41,0.0,0.0,0.7,0.0,2.11,Forró
500658,2.72,0.0,61.9,0.0,31.29,3.4,0.0,0.0,0.68,0.0,0.0,Forró
500666,1.49,0.0,68.66,0.0,23.88,4.48,0.0,0.0,0.0,0.0,1.49,Forró
500674,1.17,0.0,60.82,0.0,35.09,1.17,0.0,0.0,1.17,0.0,0.58,Forró
500682,1.27,0.0,41.4,0.0,52.23,0.64,1.27,0.0,3.18,0.0,0.0,Korčok
500691,1.23,0.0,67.9,0.0,29.63,0.0,0.0,0.0,0.0,0.0,1.23,Forró
500704,0.9,0.0,63.96,0.45,30.18,4.05,0.0,0.0,0.0,0.45,0.0,Forró
500712,0.0,0.0,61.96,0.0,35.87,2.17,0.0,0.0,0.0,0.0,0.0,Forró
500721,0.0,0.0,57.14,1.59,38.1,3.17,0.0,0.0,0.0,0.0,0.0,Forró
500739,1.27,0.0,60.44,1.09,34.12,2.18,0.36,0.0,0.18,0.0,0.36,Forró
500747,1.01,0.0,57.58,0.51,38.38,2.53,0.0,0.0,0.0,0.0,0.0,Forró
500755,0.0,0.0,65.85,0.0,30.49,0.0,0.0,0.0,2.44,1.22,0.0,Forró
500780,0.0,0.0,74.63,0.0,22.39,0.0,0.0,0.0,1.49,1.49,0.0,Forró
500798,0.0,0.0,50.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,5.0,Forró
500810,1.73,0.0,57.8,0.0,36.99,2.89,0.0,0.0,0.0,0.0,0.58,Forró
500828,0.58,0.0,71.35,0.29,23.68,2.63,0.58,0.0,0.0,0.58,0.29,Forró
500836,1.25,0.0,57.5,0.0,36.25,2.5,0.0,0.0,1.25,1.25,0.0,Forró
500844,1.41,0.0,80.28,0.0,15.49,1.41,0.0,0.0,1.41,0.0,0.0,Forró
500887,1.91,0.17,66.84,0.35,29.17,0.87,0.0,0.0,0.52,0.0,0.17,Forró
500895,0.0,0.0,44.59,0.43,45.45,2.16,3.46,0.0,3.9,0.0,0.0,Korčok
500909,8.0,0.0,62.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,2.0,Forró
500917,7.45,1.6,48.94,0.0,38.3,2.13,0.53,0.0,0.53,0.53,0.0,Forró
500925,2.08,2.08,60.42,0.0,33.33,2.08,0.0,0.0,0.0,0.0,0.0,Forró
500933,1.86,0.0,67.55,0.27,28.01,0.62,0.0,0.09,1.06,0.27,0.27,Forró
500941,1.01,0.0,65.2,0.0,32.43,1.01,0.0,0.0,0.0,0.34,0.0,Forró
500950,1.19,0.0,73.81,0.0,23.02,0.0,0.0,0.0,1.19,0.0,0.79,Forró
500968,0.85,0.14,63.23,0.21,33.5,1.0,0.14,0.28,0.21,0.21,0.21,Forró
500976,7.14,0.0,71.43,0.0,14.29,7.14,0.0,0.0,0.0,0.0,0.0,Forró
500984,0.0,0.0,67.35,0.0,28.57,4.08,0.0,0.0,0.0,0.0,0.0,Forró
500992,0.0,0.0,59.9,0.0,32.18,1.98,1.98,0.5,3.47,0.0,0.0,Forró
501018,1.89,0.0,58.49,0.0,35.85,1.89,0.0,0.0,1.89,0.0,0.0,Forró
501026,1.08,0.08,64.58,0.3,27.69,0.83,2.4,0.08,2.71,0.19,0.06,Forró
501034,2.91,0.0,37.79,0.0,52.91,0.58,5.23,0.0,0.58,0.0,0.0,Korčok
501042,0.0,0.0,41.67,0.0,50.0,0.0,0.0,0.0,8.33,0.0,0.0,Korčok
501069,4.35,0.0,30.43,0.0,26.09,0.0,4.35,0.0,34.78,0.0,0.0,Náhlik
501077,0.0,0.0,45.71,2.86,37.14,0.0,11.43,0.0,2.86,0.0,0.0,Forró
501085,2.94,0.0,38.24,0.0,54.41,1.47,1.47,0.0,1.47,0.0,0.0,Korčok
501093,0.0,0.0,45.83,0.0,39.58,0.0,6.25,0.0,8.33,0.0,0.0,Forró
501107,4.35,0.0,21.74,0.0,69.57,0.0,0.0,0.0,4.35,0.0,0.0,Korčok
501115,2.81,0.8,40.96,0.8,44.58,1.2,3.61,0.8,4.42,0.0,0.0,Korčok
501123,1.99,0.0,46.27,0.0,45.27,3.48,0.5,0.0,0.5,1.49,0.5,Forró
501140,0.5,0.0,49.85,0.2,45.14,1.3,1.5,0.1,1.0,0.3,0.1,Forró
501158,1.32,0.0,57.89,2.63,27.63,0.0,3.95,0.0,6.58,0.0,0.0,Forró
501166,1.29,0.0,41.48,0.0,50.16,0.0,3.86,0.0,3.22,0.0,0.0,Korčok
501174,0.0,0.0,57.25,0.0,38.41,0.72,1.45,0.0,2.17,0.0,0.0,Forró
501182,3.82,1.53,46.56,0.0,41.22,1.53,3.05,0.0,2.29,0.0,0.0,Forró
501191,10.0,10.0,40.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
501204,1.34,0.13,53.29,0.4,39.6,0.94,2.15,0.0,1.74,0.13,0.27,Forró
501212,1.32,0.0,36.84,1.32,28.95,0.0,25.0,1.32,5.26,0.0,0.0,Forró
501221,2.94,0.0,70.59,2.94,23.53,0.0,0.0,0.0,0.0,0.0,0.0,Forró
501239,14.66,1.5,31.95,0.0,40.98,1.13,2.63,0.75,5.64,0.38,0.38,Korčok
