IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%,500011.0,Korčok,0.05,0.76,0.25,10.09,48.5,0.38,2.02,1.39,0.09,36.38,0.08
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%,500020.0,Pellegrini,0.14,0.41,0.14,11.0,28.06,1.38,1.1,1.24,0.41,56.12,0.0
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%,500046.0,Pellegrini,0.0,0.0,0.0,18.87,30.13,0.18,1.45,3.09,0.0,46.28,0.0
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%,500062.0,Pellegrini,0.13,0.51,0.13,13.42,32.78,1.14,0.89,1.14,0.63,49.24,0.0
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%,500071.0,Korčok,0.11,0.33,6.45,12.35,42.19,0.33,0.98,3.61,0.11,33.55,0.0
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%,500101.0,Pellegrini,0.0,0.74,0.0,12.92,33.95,0.55,1.48,2.03,0.0,47.79,0.55
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%,500127.0,Pellegrini,0.46,0.46,0.0,11.52,39.17,0.92,4.15,2.76,0.46,40.09,0.0
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%,500135.0,Pellegrini,0.0,0.21,0.0,14.43,34.43,0.82,2.27,0.62,0.21,45.98,1.03
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%,500151.0,Pellegrini,0.18,2.13,0.0,16.49,31.74,0.89,1.77,0.53,0.0,46.28,0.0
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%,500160.0,Pellegrini,0.45,0.45,5.36,12.5,32.14,0.45,0.0,0.45,0.45,46.43,1.34
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%,500194.0,Korčok,0.22,0.43,24.13,6.96,43.26,0.0,1.52,3.7,0.22,19.57,0.0
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%,500232.0,Pellegrini,0.22,1.72,0.32,10.99,37.18,0.0,1.4,1.94,0.22,45.8,0.22
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%,500241.0,Pellegrini,0.17,0.52,0.0,12.37,37.28,0.87,1.92,1.74,0.0,44.77,0.35
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%,500267.0,Pellegrini,0.0,1.32,0.0,21.05,18.42,2.63,5.26,0.0,0.0,51.32,0.0
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%,500283.0,Pellegrini,0.17,0.52,0.0,14.83,29.84,1.05,1.22,1.75,0.17,50.44,0.0
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%,500305.0,Pellegrini,0.56,0.28,0.0,15.41,28.01,0.28,0.56,1.12,0.28,53.22,0.28
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%,500313.0,Pellegrini,0.0,0.38,0.0,16.15,34.62,0.38,0.77,1.54,0.0,46.15,0.0
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%,500321.0,Pellegrini,0.0,0.42,0.42,15.25,25.85,0.0,1.27,0.42,0.0,55.93,0.42
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%,500348.0,Pellegrini,0.6,2.08,0.0,19.35,27.68,0.3,0.89,2.38,0.3,46.43,0.0
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%,500356.0,Korčok,0.0,0.95,0.11,11.25,41.75,0.53,2.1,2.73,0.0,40.38,0.21
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%,500364.0,Pellegrini,0.24,0.48,0.0,18.94,22.3,0.48,2.88,0.24,0.0,54.44,0.0
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%,500372.0,Korčok,0.0,0.81,9.78,10.94,39.35,0.81,1.63,2.56,0.0,33.99,0.12
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%,500381.0,Pellegrini,0.48,0.24,0.48,13.67,38.37,0.96,1.2,3.12,1.2,40.05,0.24
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%,500399.0,Pellegrini,0.0,0.0,0.0,12.9,25.81,1.08,0.0,0.0,0.0,60.22,0.0
