OKRES|PC_HL|P_HL_K|DAT_AKT
101|1|18367|24.03.2024 02:00:04
102|1|41137|
103|1|25499|
104|1|34477|
105|1|37620|
106|1|17813|
107|1|19127|
108|1|30031|
201|1|12376|
202|1|13771|
203|1|7649|
204|1|13328|
205|1|12175|
206|1|10484|
207|1|30461|
301|1|5578|
302|1|9298|
303|1|5148|
304|1|11716|
305|1|6776|
306|1|9750|
307|1|21198|
308|1|7006|
309|1|25418|
401|1|6845|
402|1|15237|
403|1|32371|
404|1|16894|
405|1|7607|
406|1|9822|
407|1|5977|
501|1|4460|
502|1|9618|
503|1|8562|
504|1|4374|
505|1|14440|
506|1|18748|
507|1|10287|
508|1|11255|
509|1|2541|
510|1|6491|
511|1|33962|
601|1|24260|
602|1|2786|
603|1|7432|
604|1|3966|
605|1|3036|
606|1|7160|
607|1|1805|
608|1|2511|
609|1|5408|
610|1|3669|
611|1|13173|
612|1|3643|
613|1|7582|
701|1|10886|
702|1|6995|
703|1|9404|
704|1|4847|
705|1|785|
706|1|19961|
707|1|34969|
708|1|7023|
709|1|2836|
710|1|6223|
711|1|2171|
712|1|2863|
713|1|6718|
801|1|2866|
802|1|15892|
803|1|16943|
804|1|5821|
805|1|13020|
806|1|18690|
807|1|9444|
808|1|5594|
809|1|1589|
810|1|13190|
811|1|7538|
101|2|4302|
102|2|13256|
103|2|7712|
104|2|11645|
105|2|13879|
106|2|11359|
107|2|9737|
108|2|11404|
201|2|8292|
202|2|11691|
203|2|8745|
204|2|10734|
205|2|9698|
206|2|6302|
207|2|21822|
301|2|7724|
302|2|12220|
303|2|4680|
304|2|11573|
305|2|9079|
306|2|13206|
307|2|26628|
308|2|9465|
309|2|20225|
401|2|7324|
402|2|15546|
403|2|30107|
404|2|19564|
405|2|5991|
406|2|16277|
407|2|9472|
501|2|6774|
502|2|19924|
503|2|5502|
504|2|7498|
505|2|13012|
506|2|16909|
507|2|8692|
508|2|8780|
509|2|3669|
510|2|5710|
511|2|29125|
601|2|20292|
602|2|3016|
603|2|12115|
604|2|7543|
605|2|4292|
606|2|9100|
607|2|4473|
608|2|4930|
609|2|8765|
610|2|6347|
611|2|11531|
612|2|5243|
613|2|8528|
701|2|12609|
702|2|11258|
703|2|6677|
704|2|4355|
705|2|2281|
706|2|13480|
707|2|22957|
708|2|9081|
709|2|7358|
710|2|7765|
711|2|3797|
712|2|6797|
713|2|14449|
801|2|4782|
802|2|6690|
803|2|8396|
804|2|3520|
805|2|7007|
806|2|15165|
807|2|17183|
808|2|7010|
809|2|5128|
810|2|12370|
811|2|13174|
