okres_code,polling_stations,counted_polling_stations,counted,voted,counted_voted,voters,votes_1,votes_2,votes_3,votes_4,votes_5,votes_6,votes_7,votes_8,votes_9,votes_10,votes_11
101,34,27,79.41,19604,81.69,30419,4,158,82,1072,14125,37,549,251,6,3316,4
102,102,88,86.27,52752,87.33,87448,7,299,322,4053,34665,148,1377,677,42,11149,13
103,56,47,83.93,31246,87.1,50861,15,213,90,2260,21108,92,778,361,28,6291,10
104,88,79,89.77,47457,92.27,76202,23,412,88,3778,30671,132,1295,567,59,10410,22
105,65,39,60.0,33941,58.43,57530,13,225,129,2854,21352,119,839,473,43,7879,15
106,59,58,98.31,34338,100.01,62264,32,216,37,3790,17501,176,709,633,46,11165,33
107,55,47,85.45,28444,83.57,45659,23,266,30,2964,15650,127,607,469,42,8231,35
108,77,70,90.91,43021,90.16,69196,17,353,1279,3558,25933,134,867,754,38,10059,29
201,126,126,100.0,37770,100.51,104517,35,285,12917,2436,12376,107,355,929,25,8292,13
202,84,83,98.81,36956,99.29,77249,29,174,6250,3957,13504,146,464,932,39,11431,30
203,45,40,88.89,17190,85.77,30773,22,118,6,2340,6376,93,257,382,43,7534,19
204,63,62,98.41,28862,98.66,50839,22,222,24,3525,13054,154,586,621,47,10583,24
205,53,53,100.0,26510,101.62,50132,18,198,21,3118,12175,172,388,660,49,9698,13
206,44,43,97.73,19514,97.95,37201,30,128,20,2093,10117,132,317,530,32,6095,20
207,113,93,82.3,50017,79.65,84873,36,385,40,5855,23363,241,1013,1518,70,17462,34
301,62,62,100.0,16776,99.91,28956,18,84,10,2510,5578,115,375,321,22,7724,19
302,60,60,100.0,27301,101.47,47105,29,186,17,4251,9298,171,620,444,32,12220,33
303,32,31,96.88,11394,93.84,20253,16,33,7,1423,4852,69,354,179,25,4423,13
304,67,66,98.51,27855,98.02,48910,35,194,16,3572,11417,198,640,523,41,11187,32
305,50,50,100.0,19946,100.61,36079,19,135,12,3028,6776,128,371,359,21,9079,18
306,71,70,98.59,28018,98.92,48662,42,234,8,4071,9511,195,567,392,40,12923,35
307,133,130,97.74,57688,96.9,104236,73,319,33,8524,20375,350,1113,915,84,25848,54
308,53,53,100.0,20782,99.85,35845,32,185,10,3058,7006,138,469,362,31,9465,26
309,116,111,95.69,51486,94.13,86659,46,415,38,6003,23555,260,1286,981,61,18794,47
401,107,106,99.07,27313,97.32,79876,25,81,9982,2060,6772,92,245,736,20,7279,21
402,160,160,100.0,41864,100.05,89774,42,201,4066,4691,15237,307,646,1018,63,15546,47
403,166,163,98.19,73886,98.33,131153,48,500,1238,8228,31671,329,1335,1248,88,29116,85
404,134,133,99.25,50333,99.12,111371,52,230,6901,5028,16724,230,634,1120,52,19318,44
405,42,41,97.62,18139,97.67,40177,16,85,2405,1689,7335,79,252,477,114,5669,18
406,88,88,100.0,32626,100.57,58003,28,161,26,4930,9822,171,576,557,42,16277,36
407,46,46,100.0,19194,100.34,33541,21,134,43,2717,5977,114,292,378,28,9472,18
501,33,33,100.0,13961,101.05,25301,14,120,6,1916,4460,112,259,261,23,6774,16
502,77,77,100.0,36471,100.2,71303,46,213,18,5142,9618,255,614,580,36,19924,25
503,43,43,100.0,17494,99.92,30746,11,223,6,2103,8562,113,409,521,29,5502,15
504,28,28,100.0,14934,100.97,26433,18,112,3,2293,4374,92,250,262,15,7498,17
505,95,91,95.79,31760,93.25,56431,31,171,28,4014,13553,183,806,501,81,12359,33
506,106,104,98.11,43352,98.89,74834,34,270,33,6098,18379,274,1000,664,66,16497,37
507,52,52,100.0,24422,100.13,46956,27,408,14,3321,10287,176,574,862,34,8692,27
508,59,59,100.0,25298,100.09,46086,34,377,22,3344,11255,205,537,685,39,8780,20
509,32,32,100.0,7729,99.16,13246,10,20,3,1076,2541,99,167,127,9,3669,8
510,32,32,100.0,16096,101.11,27982,28,301,6,2466,6491,123,417,511,24,5710,19
511,158,154,97.47,74388,98.15,125670,53,618,32,9158,32722,364,1630,1299,85,28375,52
601,130,115,88.46,44190,86.69,75541,12,252,27,4082,20394,384,1117,479,38,17381,24
602,23,23,100.0,7046,97.05,12902,5,33,5,881,2786,73,146,80,15,3016,6
603,65,65,100.0,23547,99.27,47914,11,92,20,2741,7432,192,585,314,17,12115,28
604,44,44,100.0,14072,99.57,25480,18,69,9,1842,3966,88,295,213,11,7543,18
605,46,46,100.0,9332,98.72,17607,16,69,18,1397,3036,146,169,167,13,4292,9
606,97,97,100.0,21903,100.45,55864,26,89,1869,2449,7160,187,375,602,20,9100,26
607,37,37,100.0,8076,99.79,16718,10,31,13,1307,1805,125,162,133,8,4473,9
608,66,66,100.0,10254,100.34,29822,17,29,827,1235,2511,155,151,375,17,4930,7
609,151,150,99.34,21555,98.62,61188,35,77,3922,2318,5274,232,302,734,29,8614,18
610,83,83,100.0,14310,99.83,33534,13,72,1834,1615,3669,178,176,383,12,6347,11
611,75,75,100.0,29925,101.02,53914,18,190,27,3319,13173,197,788,429,219,11531,34
612,35,35,100.0,11187,99.02,20531,18,93,6,1519,3643,135,241,259,20,5243,10
613,56,55,98.21,19186,98.11,35639,22,100,16,2302,7474,201,415,262,24,8351,19
701,116,116,100.0,29899,101.22,59018,28,316,35,3961,10886,153,711,1150,40,12609,10
702,87,87,100.0,23008,101.42,48152,22,143,17,3403,6995,114,447,553,40,11258,16
703,67,67,100.0,21714,99.51,53374,19,205,15,3763,9404,117,476,997,23,6677,18
704,47,47,100.0,11828,100.4,25643,12,119,8,1714,4847,73,270,407,13,4355,10
705,30,30,100.0,3962,99.33,8792,4,13,6,619,785,50,68,128,5,2281,3
706,92,88,95.65,39308,94.31,78258,29,328,41,5678,18306,216,805,986,59,12834,26
707,169,155,91.72,63828,92.43,120751,44,739,61,6972,31618,308,1556,2067,86,20310,67
708,63,54,85.71,16855,79.47,34839,13,166,10,2299,5775,110,410,578,24,7451,19
709,48,48,100.0,12782,99.58,27944,15,61,4,2018,2836,47,197,225,9,7358,12
710,62,62,100.0,17980,100.81,39597,12,222,11,2674,6223,107,372,549,25,7765,20
711,52,52,100.0,7673,100.42,15572,2,62,7,1219,2171,70,142,194,8,3797,1
712,78,78,100.0,12303,100.9,25047,11,87,21,1905,2863,84,197,317,16,6797,5
713,93,93,100.0,26951,100.19,60518,24,165,10,4086,6718,130,488,849,13,14449,19
801,32,31,96.88,9358,96.24,22562,12,41,9,1387,2736,74,189,237,8,4652,13
802,59,58,98.31,26691,100.7,51588,16,178,313,2656,15684,95,632,470,22,6599,26
803,60,59,98.33,30244,99.96,62274,15,213,253,3232,16677,119,719,723,27,8246,20
804,22,22,100.0,11348,101.15,23127,3,70,92,1255,5821,52,284,229,13,3520,9
805,51,49,96.08,22919,94.64,44585,14,189,247,2333,12376,111,488,503,24,6606,28
806,151,151,100.0,44313,101.07,100728,39,273,2073,5536,18690,252,727,1457,65,15165,36
807,131,131,100.0,34234,100.54,84777,34,180,1388,4168,9444,213,646,915,48,17183,15
808,88,86,97.73,17155,96.59,44722,17,49,2022,1863,5411,127,222,595,25,6817,7
809,52,52,100.0,8336,100.46,17425,2,52,24,1147,1589,37,147,197,9,5128,4
810,86,85,98.84,31501,99.01,72196,31,242,21,4229,13013,217,580,908,66,12163,31
811,128,128,100.0,28970,100.32,80145,42,137,3309,3047,7538,158,436,1029,72,13174,28
