OKRES|PC_HL|P_HL_K|DAT_AKT
101|1|16904|06.04.2024 23:50:00
101|2|5221|
102|1|46275|
102|2|20778|
103|1|23677|
103|2|10510|
104|1|35212|
104|2|16627|
105|1|23514|
105|2|12140|
106|1|22320|
106|2|19273|
107|1|21246|
107|2|15240|
108|1|35503|
108|2|18995|
201|1|20964|
201|2|24257|
202|1|19629|
202|2|22975|
203|1|9565|
203|2|13635|
204|1|16911|
204|2|17517|
205|1|14722|
205|2|15331|
206|1|13724|
206|2|10387|
207|1|36302|
207|2|33905|
301|1|7243|
301|2|12380|
302|1|12072|
302|2|19774|
303|1|6696|
303|2|7518|
304|1|14629|
304|2|18226|
305|1|8935|
305|2|14485|
306|1|12592|
306|2|21283|
307|1|27126|
307|2|41479|
308|1|9185|
308|2|15209|
309|1|31159|
309|2|31366|
401|1|11765|
401|2|20371|
402|1|20790|
402|2|28431|
403|1|40473|
403|2|46599|
404|1|24532|
404|2|36393|
405|1|10393|
405|2|11533|
406|1|12854|
406|2|25576|
407|1|7917|
407|2|14530|
501|1|6027|
501|2|11015|
502|1|13596|
502|2|32046|
503|1|11021|
503|2|9292|
504|1|5811|
504|2|12173|
505|1|17975|
505|2|21310|
506|1|23286|
506|2|27360|
507|1|13623|
507|2|15289|
508|1|14378|
508|2|14854|
509|1|3247|
509|2|5749|
510|1|8541|
510|2|9780|
511|1|42473|
511|2|46101|
601|1|29578|
601|2|30280|
602|1|3633|
602|2|4793|
603|1|9680|
603|2|18654|
604|1|5164|
604|2|11611|
605|1|3869|
605|2|7043|
606|1|10141|
606|2|16429|
607|1|2430|
607|2|7445|
608|1|3611|
608|2|9320|
609|1|7985|
609|2|18514|
610|1|5423|
610|2|11525|
611|1|15443|
611|2|17104|
612|1|4829|
612|2|8455|
613|1|9585|
613|2|13300|
701|1|14766|
701|2|20203|
702|1|9335|
702|2|18048|
703|1|12507|
703|2|13653|
704|1|6324|
704|2|7565|
705|1|1123|
705|2|3717|
706|1|23797|
706|2|22897|
707|1|42163|
707|2|35980|
708|1|9607|
708|2|14551|
709|1|3902|
709|2|11507|
710|1|8489|
710|2|13499|
711|1|2871|
711|2|6192|
712|1|3911|
712|2|10450|
713|1|8963|
713|2|22447|
801|1|3831|
801|2|7789|
802|1|19304|
802|2|11427|
803|1|20940|
803|2|14125|
804|1|7347|
804|2|5853|
805|1|16248|
805|2|11549|
806|1|24427|
806|2|27149|
807|1|12661|
807|2|28612|
808|1|8138|
808|2|12888|
809|1|2241|
809|2|7625|
810|1|17054|
810|2|20566|
811|1|11038|
811|2|23970|
