OKRES|P_OKRSOK|P_ZAP|P_ZUC|P_OO|P_HL|DAT_AKT
101|34|41812|30817|30809|30644|07.04.2024 01:50:00
102|102|103749|73093|73066|72660|
103|56|61658|44360|44332|44122|
104|88|85903|61851|61831|61518|
105|65|100222|70071|70045|69738|
106|59|63581|41866|41859|41593|
107|55|55360|40251|40224|39973|
108|77|79339|57358|57348|56943|
201|126|104939|45671|45657|45221|
202|84|78392|43592|43576|43222|
203|45|35767|23889|23885|23711|
204|63|51825|34658|34648|34428|
205|53|52018|33504|33490|33282|
206|44|39064|25007|25005|24805|
207|113|107687|74831|74808|74405|
301|62|28882|19757|19755|19623|
302|60|47286|32284|32107|31846|
303|32|21429|14327|14326|14214|
304|67|50506|34115|34112|33852|
305|50|35899|23574|23570|23420|
306|71|49650|34080|34075|33875|
307|133|107122|70049|70022|69583|
308|53|35915|24617|24615|24394|
309|116|93397|65466|65443|64896|
401|107|82019|32478|32476|32136|
402|160|89699|49530|49524|49221|
403|166|134490|89277|89257|88800|
404|134|112478|61291|61278|60925|
405|42|41240|22066|22065|21926|
406|88|58028|38715|38708|38430|
407|46|33533|22578|22575|22447|
501|33|25272|17130|17128|17042|
502|77|71696|45887|45880|45642|
503|43|30599|20456|20449|20313|
504|28|26389|18095|18092|17984|
505|95|59581|39862|39585|39285|
506|106|76523|51896|51893|51522|
507|52|46939|29143|29124|28912|
508|59|46084|30259|30252|30043|
509|32|13243|9066|9064|8996|
510|32|27675|18497|18495|18321|
511|158|129226|90953|90926|90418|
601|130|87343|60198|60185|59858|
602|23|13168|8490|8490|8426|
603|65|47922|28518|28511|28334|
604|44|25617|16885|16885|16775|
605|46|17727|10993|10993|10912|
606|97|55898|26705|26699|26570|
607|37|16748|9940|9937|9875|
608|66|29762|13010|13009|12931|
609|151|61958|26673|26666|26499|
610|83|33394|17044|17042|16948|
611|75|53617|34751|34746|34506|
612|35|20613|13361|13360|13284|
613|56|36191|23039|23034|22885|
701|116|58830|35165|35163|34969|
702|87|47719|27575|27570|27383|
703|67|53490|26375|26374|26160|
704|47|25648|13989|13989|13889|
705|30|8810|4876|4875|4840|
706|92|81884|48690|48680|48390|
707|169|133501|82014|81982|81450|
708|63|44249|24322|24321|24158|
709|48|27879|15507|15483|15409|
710|62|39647|22156|22151|21988|
711|52|15617|9117|9116|9063|
712|78|24851|14442|14442|14361|
713|93|60439|32221|32208|31957|
801|32|23639|11720|11720|11620|
802|59|51967|31528|31526|31308|
803|60|62868|35924|35918|35685|
804|22|23069|13281|13278|13200|
805|51|46310|27936|27922|27797|
806|151|100426|52824|52819|52410|
807|131|84761|41490|41488|41273|
808|88|45991|21172|21171|21026|
809|52|17393|9926|9926|9866|
810|86|73357|37851|37843|37620|
811|128|80278|35304|35296|35008|
