okres_code,polling_stations,counted_polling_stations,counted,voted,counted_voted,voters,votes_1,votes_2
101,34,4,11.76,3486,12.59,4977,2575,911
102,102,28,27.45,17016,23.47,24184,11780,5236
103,56,4,7.14,2485,7.49,4566,1456,1029
104,88,18,20.45,11334,19.31,16440,7723,3611
105,65,3,4.62,2025,2.89,2887,1363,662
106,59,22,37.29,13500,32.73,20706,7034,6466
107,55,11,20.0,6678,17.11,9461,3755,2923
108,77,20,25.97,10484,19.89,15669,6449,4035
201,126,115,91.27,38121,87.65,91611,16847,21274
202,84,46,54.76,18972,48.16,37743,8497,10475
203,45,22,48.89,9017,37.43,13356,3638,5379
204,63,31,49.21,14104,41.03,21216,6855,7249
205,53,29,54.72,14176,44.87,22494,6711,7465
206,44,29,65.91,13685,54.76,21062,7773,5912
207,113,37,32.74,17478,24.7,26554,8866,8612
301,62,55,88.71,15150,75.8,21949,5521,9629
302,60,37,61.67,16329,53.45,25178,6137,10192
303,32,20,62.5,6353,44.03,9367,2951,3402
304,67,50,74.63,22670,67.2,33837,10078,12592
305,50,30,60.0,12089,50.45,18201,4654,7435
306,71,44,61.97,16023,45.89,22818,5569,10454
307,133,80,60.15,34084,48.39,51788,13602,20482
308,53,40,75.47,16765,67.8,24304,6211,10554
309,116,62,53.45,29346,44.77,41589,14181,15165
401,107,83,77.57,22513,70.81,58162,7671,14842
402,160,149,93.12,43513,89.03,79924,18444,25069
403,166,123,74.1,59428,66.3,89317,26844,32584
404,134,102,76.12,41414,70.32,79046,16213,25201
405,42,35,83.33,17572,83.35,34501,8042,9530
406,88,55,62.5,19048,50.73,29423,6278,12770
407,46,38,82.61,16729,74.08,24847,5853,10876
501,33,28,84.85,13258,78.14,19769,4538,8720
502,77,31,40.26,14350,32.67,23293,4100,10250
503,43,38,88.37,16994,83.58,25698,9320,7674
504,28,18,64.29,10359,57.7,15251,3417,6942
505,95,70,73.68,24217,61.52,36670,11069,13148
506,106,80,75.47,33566,66.61,50897,15104,18462
507,52,30,57.69,15516,53.25,25006,7421,8095
508,59,49,83.05,24222,80.1,36915,11761,12461
509,32,29,90.62,6548,73.41,9724,2260,4288
510,32,12,37.5,4777,26.48,7410,2196,2581
511,158,78,49.37,36291,41.19,53271,16930,19361
601,130,58,44.62,20300,32.88,29020,9867,10433
602,23,19,82.61,6211,75.49,9740,2551,3660
603,65,43,66.15,16079,58.24,27906,5261,10818
604,44,18,40.91,4354,24.7,6293,1371,2983
605,46,35,76.09,4440,42.52,7486,1356,3084
606,97,89,91.75,21748,84.35,47120,8178,13570
607,37,37,100.0,9875,100.18,16748,2430,7445
608,66,49,74.24,6542,53.63,15994,1629,4913
609,151,120,79.47,16101,63.19,39248,4235,11866
610,83,82,98.8,16494,97.52,32701,5285,11209
611,75,22,29.33,5984,16.75,9033,2663,3321
612,35,31,88.57,11432,86.89,17839,4127,7305
613,56,42,75.0,14219,63.56,23057,5716,8503
701,116,110,94.83,31592,90.18,53222,13217,18375
702,87,80,91.95,23353,85.44,41143,7799,15554
703,67,61,91.04,22188,87.74,46935,10474,11714
704,47,38,80.85,9034,65.02,16672,4119,4915
705,30,30,100.0,4840,100.2,8810,1123,3717
706,92,54,58.7,25724,53.85,44395,12917,12807
707,169,106,62.72,42093,53.04,71215,21976,20117
708,63,50,79.37,15861,70.61,31251,6398,9463
709,48,43,89.58,12481,79.1,22104,3100,9381
710,62,50,80.65,16028,75.15,29758,6332,9696
711,52,48,92.31,7162,80.16,12483,2154,5008
712,78,74,94.87,12370,82.8,20738,3293,9077
713,93,79,84.95,24234,76.78,46467,6740,17494
801,32,26,81.25,9362,85.04,19897,2962,6400
802,59,27,45.76,13023,44.3,23206,8064,4959
803,60,25,41.67,13003,42.18,26624,7795,5208
804,22,10,45.45,5521,41.28,9546,3088,2433
805,51,32,62.75,16834,60.84,28418,9906,6928
806,151,127,84.11,37949,74.12,74655,18023,19926
807,131,118,90.08,34388,83.74,70989,10368,24020
808,88,74,84.09,15746,74.64,34719,6189,9557
809,52,51,98.08,9342,92.84,16178,2108,7234
810,86,53,61.63,18862,52.79,38695,8061,10801
811,128,118,92.19,31569,90.78,72754,9939,21630
